run,timestamp,LR_type,LR_alpha,LR_max_iter,RF_type,RF_n_estimators,RF_max_depth,RF_min_samples_leaf,RF_min_samples_split,RF_max_features,RF_random_state,RF_n_jobs,LGBM_type,LGBM_objective,LGBM_boosting_type,LGBM_num_leaves,LGBM_max_depth,LGBM_learning_rate,LGBM_n_estimators,LGBM_min_child_samples,LGBM_subsample,LGBM_colsample_bytree,LGBM_reg_alpha,LGBM_reg_lambda,LGBM_random_state,LGBM_n_jobs,LGBM_verbose,use_ML_features,device,input_length,pred_length,valid_length,features_in_future,epochs,batch_size,model_dim,num_layers,num_heads,ffn_size,num_geo_blocks,learning_rate,weight_decay,dropout,warmup_steps,patience,min_delta,patch_length,stride,geo_block_ratio,lambda_cross,lambda_coverage,lambda_deriv,lambda_median,smoothing_cross,saturation_cold_degC,threshold_cold_degC,lambda_cold,lambda_regions,lambda_regions_sum,num_patches,quantiles_0,quantiles_1,quantiles_2,quantiles_3,quantiles_4,metaNN_batch_size,metaNN_epochs,metaNN_learning_rate,metaNN_weight_decay,metaNN_dropout,metaNN_patience,metaNN_factor,metaNN_device,metaNN_num_cells_0,metaNN_num_cells_1,num_features,q10,q25,q50,q75,q90,avg_weight_meta_NN_NNTQ,avg_weight_meta_NN_LR,avg_weight_meta_NN_RF,avg_weight_meta_NN_LGBM,test_NNTQ_bias,test_NNTQ_RMSE,test_NNTQ_MAE,test_LR_bias,test_LR_RMSE,test_LR_MAE,test_RF_bias,test_RF_RMSE,test_RF_MAE,test_LGBM_bias,test_LGBM_RMSE,test_LGBM_MAE,test_meta_LR_bias,test_meta_LR_RMSE,test_meta_LR_MAE,test_meta_NN_bias,test_meta_NN_RMSE,test_meta_NN_MAE,avg_abs_worst_days_test,num_runs,loss_NNTQ,loss_meta
1,16/01/2026 14:23:37,ridge,1.05,2000,rf,410,24,14,22,sqrt,0,4,lgbm,regression,gbdt,31,2,0.04,510,19,0.6,0.6,0.15,0.07,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,384,17,2000,17.044871,0.16,4,0.7,cuda,56,28,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.084202,0.132246,0.494511,0.28904,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.924375,2.1989,1.6139,2.362569,1,8.64,1.407
2,16/01/2026 14:25:17,ridge,0.9,2000,rf,580,21,16,18,sqrt,0,4,lgbm,regression,gbdt,7,2,0.02,630,19,0.7,1,0.14,0.07,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,128,19,1000,4.549596,0.08,4,0.7,cuda,40,20,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.099442,0.150346,0.452113,0.298099,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.831895,2.1393,1.5755,2.362569,1,8.64,1.376
3,16/01/2026 14:26:37,ridge,0.85,2000,rf,440,18,15,21,sqrt,0,4,lgbm,regression,gbdt,31,2,0.12,370,22,0.7,0.6,0.13,0.11,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,256,19,1000,0.370149,0.18,4,0.7,cuda,56,32,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.09507,0.15796,0.467509,0.279461,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.865253,2.1698,1.5967,2.362569,1,8.64,1.389
4,16/01/2026 14:27:42,ridge,0.95,2000,rf,440,25,15,22,sqrt,0,4,lgbm,regression,gbdt,7,2,0.12,320,14,0.9,0.8,0.08,0.09,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,384,14,3000,30.410838,0.06,4,0.7,cuda,48,24,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.102206,0.151393,0.474932,0.271469,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.86553,2.1909,1.6036,2.362569,1,8.64,1.392
5,16/01/2026 14:29:01,ridge,1.5,2000,rf,600,23,18,20,sqrt,0,4,lgbm,regression,gbdt,15,2,0.11,360,21,0.8,0.6,0.1,0.07,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,256,16,1000,0.052559,0.11,4,0.7,cuda,32,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.105874,0.147976,0.423446,0.322704,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.866713,2.1756,1.5989,2.362569,1,8.64,1.39
6,16/01/2026 14:30:14,ridge,0.6,2000,rf,570,18,17,18,sqrt,0,4,lgbm,regression,gbdt,7,3,0.07,310,17,0.8,0.9,0.06,0.06,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,384,17,2500,21.061377,0.03,4,0.7,cuda,24,32,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.092413,0.147237,0.449714,0.310637,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.897128,2.1793,1.6041,2.362569,1,8.64,1.398
8,16/01/2026 14:32:44,ridge,0.85,2000,rf,560,18,14,16,sqrt,0,4,lgbm,regression,gbdt,31,4,0.15,520,15,0.6,0.6,0.12,0.12,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,128,12,2000,6.710798,0.04,4,0.7,cuda,24,32,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.109743,0.140138,0.473358,0.276761,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.84448,2.1371,1.5693,2.362569,1,8.64,1.377
10,16/01/2026 14:35:29,ridge,1.5,2000,rf,320,21,8,12,sqrt,0,4,lgbm,regression,gbdt,15,6,0.08,460,12,1,0.8,0.1,0.05,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,640,20,4000,1.126159,0,4,0.7,cuda,64,12,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.097705,0.155844,0.449837,0.296615,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.860724,2.1676,1.5932,2.362569,1,8.64,1.387
11,16/01/2026 14:50:25,ridge,1.25,2000,rf,500,20,9,14,sqrt,0,4,lgbm,regression,gbdt,31,3,0.01,430,12,1,0.7,0.11,0.15,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,15,4000,81.43621,0.13,4,0.7,cuda,40,20,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.116662,0.147883,0.478569,0.256886,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.743601,2.0971,1.5397,2.362569,5,8.64,1.3554
12,16/01/2026 14:51:44,ridge,1.25,2000,rf,490,20,11,13,sqrt,0,4,lgbm,regression,gbdt,31,5,0.06,440,13,0.9,0.7,0.08,0.15,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,192,15,4000,91.002119,0.14,4,0.7,cuda,40,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.097536,0.14749,0.477963,0.277011,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.831871,2.1576,1.5835,2.362569,1,8.64,1.3785
13,16/01/2026 14:52:59,ridge,1.35,2000,rf,490,22,8,14,sqrt,0,4,lgbm,regression,gbdt,31,3,0.1,520,16,0.7,0.7,0.11,0.15,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,512,17,3500,1.6916,0.12,4,0.7,cuda,32,28,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.102437,0.1607,0.442903,0.29396,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.850473,2.1738,1.5972,2.362569,1,8.64,1.386
14,16/01/2026 14:59:26,ridge,1.3,2000,rf,370,20,11,14,sqrt,0,4,lgbm,regression,gbdt,31,3,0.05,580,13,0.9,0.8,0.1,0.13,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,15,3500,99.216704,0.19,4,0.7,cuda,32,28,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.107889,0.148548,0.478912,0.26465,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.778501,2.1148,1.5508,2.362569,5,8.64,1.3586
15,16/01/2026 15:07:42,ridge,1.2,2000,rf,500,20,10,15,sqrt,0,4,lgbm,regression,gbdt,15,3,0.01,420,12,1,0.9,0.08,0.09,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,18,3500,0.227869,0,4,0.7,cuda,40,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.116031,0.157496,0.46156,0.264913,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.751771,2.0904,1.5405,2.362569,5,8.64,1.3474
17,16/01/2026 15:10:26,ridge,1.4,2000,rf,400,19,10,12,sqrt,0,4,lgbm,regression,gbdt,15,5,0.13,410,18,0.7,0.9,0.08,0.08,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,512,18,3000,0.086712,0.03,4,0.7,cuda,56,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.098342,0.150769,0.430726,0.320163,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.881262,2.1849,1.6065,2.362569,1,8.64,1.3951
19,16/01/2026 15:13:15,ridge,1.2,2000,rf,470,19,13,18,sqrt,0,4,lgbm,regression,gbdt,15,3,0.09,560,16,0.8,1,0.09,0.09,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,640,18,500,2.74423,0.06,4,0.7,cuda,48,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.122657,0.156217,0.410191,0.310936,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.908422,2.2044,1.6293,2.362569,1,8.64,1.4058
20,16/01/2026 15:21:45,ridge,1.2,2000,rf,510,20,9,15,sqrt,0,4,lgbm,regression,gbdt,7,3,0.01,410,12,1,0.7,0.07,0.14,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,15,4000,0.090329,0.14,4,0.7,cuda,40,20,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.112045,0.154884,0.48815,0.244921,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.770345,2.1254,1.5588,2.362569,5,8.64,1.3586
21,16/01/2026 15:29:15,ridge,1.1,2000,rf,470,22,12,15,sqrt,0,4,lgbm,regression,gbdt,15,4,0.01,440,14,1,1,0.05,0.1,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,19,3000,0.223296,0,4,0.7,cuda,32,12,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.113553,0.147512,0.452778,0.286156,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.755026,2.1125,1.5574,2.362569,5,8.64,1.3522
24,16/01/2026 15:39:10,ridge,1.3,2000,rf,420,23,12,13,sqrt,0,4,lgbm,regression,gbdt,15,4,0.03,400,15,1,1,0.11,0.11,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,17,3500,0.821262,0.07,4,0.7,cuda,40,20,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.110718,0.156062,0.458527,0.274692,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.757512,2.1285,1.5624,2.362569,5,8.64,1.35
25,16/01/2026 15:46:13,ridge,1.35,2000,rf,410,23,12,13,sqrt,0,4,lgbm,regression,gbdt,15,4,0.03,340,15,0.9,1,0.06,0.11,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,18,2500,0.887425,0.08,4,0.7,cuda,32,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.104126,0.148255,0.483778,0.263841,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.808734,2.1231,1.5607,2.362569,5,8.64,1.3606
24,16/01/2026 15:53:35,ridge,1.1,2000,rf,370,23,12,15,sqrt,0,4,lgbm,regression,gbdt,15,4,0.03,390,14,1,1,0.05,0.09,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,18,3500,0.273888,0,4,0.7,cuda,32,12,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.122683,0.14467,0.467659,0.264988,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.74601,2.0984,1.5453,2.362569,5,8.64,1.3504
25,16/01/2026 16:00:11,ridge,1.4,2000,rf,340,24,12,13,sqrt,0,4,lgbm,regression,gbdt,15,4,0.05,380,16,1,0.9,0.05,0.09,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,17,3500,0.50154,0.05,4,0.7,cuda,40,12,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.11452,0.155362,0.445912,0.284206,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.731964,2.1097,1.547,2.362569,5,8.64,1.354
30,16/01/2026 16:06:48,ridge,1.3,2000,rf,380,22,13,16,sqrt,0,4,lgbm,regression,gbdt,15,4,0.04,410,15,1,0.9,0.12,0.09,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,640,20,3000,1.749331,0.04,4,0.7,cuda,48,12,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.108018,0.161857,0.424266,0.305859,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.858506,2.1476,1.5814,2.362569,1,8.64,1.3831
31,16/01/2026 16:14:34,ridge,1.1,2000,rf,470,22,12,15,sqrt,0,4,lgbm,regression,gbdt,15,4,0.01,420,14,1,1,0.05,0.11,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,19,3000,0.2127,0,4,0.7,cuda,32,12,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.111141,0.151404,0.461981,0.275474,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.764144,2.1015,1.5521,2.362569,5,8.64,1.3518
33,16/01/2026 16:23:42,ridge,1.15,2000,rf,540,23,10,15,sqrt,0,4,lgbm,regression,gbdt,15,4,0.03,480,13,0.9,1,0.05,0.13,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,18,3500,0.290419,0.01,4,0.7,cuda,40,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.113721,0.144595,0.44936,0.292324,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.74879,2.1082,1.554,2.362569,5,8.64,1.3521
34,16/01/2026 16:24:55,ridge,1.25,2000,rf,400,21,13,14,sqrt,0,4,lgbm,regression,gbdt,15,4,0.04,420,16,1,1,0.15,0.1,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,256,17,3000,0.734355,0.01,4,0.7,cuda,32,12,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.101121,0.159295,0.44832,0.291264,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.83608,2.1357,1.5734,2.362569,1,8.64,1.3759
35,16/01/2026 16:26:08,ridge,0.5,2000,rf,460,22,15,19,sqrt,0,4,lgbm,regression,gbdt,7,4,0.02,360,14,1,0.9,0.13,0.08,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,384,19,3500,5.648814,0.17,4,0.7,cuda,40,20,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.089199,0.136796,0.456093,0.317912,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.885526,2.1805,1.6009,2.362569,1,8.64,1.3949
36,16/01/2026 16:27:26,ridge,1,2000,rf,440,23,11,17,sqrt,0,4,lgbm,regression,gbdt,15,2,0.01,300,19,0.9,1,0.14,0.11,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,512,20,4000,0.039847,0.1,4,0.7,cuda,24,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.094456,0.152932,0.453489,0.299123,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.867201,2.1709,1.5979,2.362569,1,8.64,1.3894
27,16/01/2026 16:29:22,ridge,0.75,2000,rf,300,24,10,16,sqrt,0,4,lgbm,regression,gbdt,15,6,0.03,480,13,0.9,0.9,0.07,0.12,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,192,16,2500,0.019462,0.08,4,0.7,cuda,48,24,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.107212,0.151067,0.454982,0.286739,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.822086,2.1538,1.5791,2.362569,1,8.64,1.3754
28,16/01/2026 16:35:50,ridge,1.05,2000,rf,360,25,9,17,sqrt,0,4,lgbm,regression,gbdt,15,6,0.07,390,12,0.9,0.9,0.09,0.08,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,16,2000,0.120574,0.02,4,0.7,cuda,24,24,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.10797,0.163764,0.463451,0.264815,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.789069,2.1394,1.5742,2.362569,5,8.64,1.3611
29,16/01/2026 16:43:31,ridge,1.05,2000,rf,520,24,14,12,sqrt,0,4,lgbm,regression,gbdt,15,5,0.05,330,17,1,0.9,0.09,0.1,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,18,1500,0.007449,0.02,4,0.7,cuda,64,20,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.114502,0.156893,0.468048,0.260557,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.775525,2.119,1.5561,2.362569,5,8.64,1.3581
30,16/01/2026 16:44:44,ridge,1.15,2000,rf,380,24,11,13,sqrt,0,4,lgbm,regression,gbdt,15,4,0.02,470,15,0.6,1,0.07,0.06,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,12,3500,0.030203,0.07,4,0.7,cuda,48,24,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.113217,0.136294,0.493977,0.256512,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.77841,2.1275,1.5637,2.362569,1,8.64,1.3611
31,16/01/2026 16:52:29,ridge,1.1,2000,rf,420,23,12,15,sqrt,0,4,lgbm,regression,gbdt,15,4,0.03,390,14,1,1,0.06,0.12,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,19,3000,0.177789,0,4,0.7,cuda,32,12,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.117132,0.143305,0.461883,0.277681,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.754029,2.1055,1.5538,2.362569,5,8.64,1.3531
33,16/01/2026 17:03:18,ridge,1.15,2000,rf,530,22,14,17,sqrt,0,4,lgbm,regression,gbdt,15,4,0.002,450,12,0.86,0.84,0.05,0.11,0,4,-1,1,cuda,576,72,48,1,15,64,525,4,5,4,8,16200,0.001447,0.12,2000,6,0.034,36,15,1,0,0.18,0.048,0.04,0.057,-4.3,-1,0.13,0.052,0.42,61,0.1,0.25,0.5,0.75,0.9,96,19,2500,0.16209,0.01,4,0.7,cuda,40,16,58,0.021508,0.005593,-0.051669,-0.015418,-0.004581,0.121911,0.137458,0.459489,0.281142,-0.416416,3.0782,2.3733,0.175443,2.8336,2.1963,1.400118,2.616,1.9137,1.69615,2.7311,2.1136,0.083889,1.9272,1.4347,0.765469,2.1068,1.5523,2.362569,5,8.64,1.3553
